TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1608535316677	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316677437000.png
1608535316721	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316721388000.png
1608535316774	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316774450000.png
1608535316831	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316831409000.png
1608535316878	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316878772000.png
1608535316931	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316930870000.png
1608535316983	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535316982957000.png
1608535317026	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317025866000.png
1608535317080	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317080226000.png
1608535317133	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317132717000.png
1608535317180	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317180525000.png
1608535317223	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317223308000.png
1608535317289	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317289722000.png
1608535317332	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317331836000.png
1608535317385	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317385774000.png
1608535317435	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317435610000.png
1608535317489	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317489452000.png
1608535317532	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317532628000.png
1608535317595	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1608535317595302000.png
1608535317637	-0.000000	0.000004	-0.607208	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	10.737608	0.000000	img__0_1608535317637162000.png
1608535317693	-0.000000	0.000004	-0.606322	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	85.217407	-0.000000	img__0_1608535317693448000.png
1608535317747	0.000000	0.000004	-0.605373	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	227.403122	0.000000	img__0_1608535317747066000.png
1608535317807	0.000000	0.000004	-0.605643	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	465.233673	0.000000	img__0_1608535317807450000.png
1608535317848	0.000000	0.000004	-0.604852	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	661.877991	-0.000000	img__0_1608535317848227000.png
1608535317904	0.000000	0.000004	-0.605912	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	827.348633	0.000000	img__0_1608535317904131000.png
1608535317950	-0.000000	0.000004	-0.606125	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	1128.895630	0.000000	img__0_1608535317950128000.png
1608535318008	-0.000000	0.000004	-0.606368	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	1165.614746	0.000000	img__0_1608535318008280000.png
1608535318050	-0.000000	0.000004	-0.606156	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	1147.282959	-0.000000	img__0_1608535318050104000.png
1608535318108	-0.000000	0.000004	-0.605984	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	1123.758423	0.000000	img__0_1608535318108597000.png
1608535318152	0.000003	0.000004	-0.605895	1.000000	0.000031	-0.000002	-0.000000	1.000000	0.000000	0.000000	1	0	1129.041870	0.103364	img__0_1608535318151425000.png
1608535318214	0.012174	0.000005	-0.605827	1.000000	0.000031	0.000600	0.000001	1.000000	0.000000	0.000000	1	0	1245.132080	0.395960	img__0_1608535318214190000.png
1608535318260	0.033106	0.000005	-0.605758	0.999999	0.000031	0.001053	0.000002	1.000000	0.000000	0.000000	1	0	1341.151123	0.595199	img__0_1608535318260170000.png
1608535318317	0.065747	0.000006	-0.605816	0.999999	0.000031	0.001433	0.000003	1.000000	0.000000	0.000000	1	0	1469.278320	0.817992	img__0_1608535318317600000.png
1608535318368	0.117058	0.000007	-0.605236	0.999999	0.000031	0.001715	0.000005	1.000000	0.000000	0.000000	1	0	1584.913940	1.003432	img__0_1608535318367972000.png
